trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999987675502532}",35,14,-69.94200689977522,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.9999950702040505}",25,0,-232.68196574376373,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.1, 'e': 0.9999889079705055}",25,0,-41.48748941695485,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9999802808648077}",20,0,-136.06558054270403,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9999691889082218}",30,0,-124.41587683475844,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9999556321280886}",20,0,-140.9079780365431,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9999396105578239}",30,0,-120.21063848082618,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.9999211242369195}",25,0,-98.35536339977789,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9999001732109422}",25,0,-41.559496726167104,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9998767575315342}",30,0,-116.34995726042425,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9998508772564129}",20,5,-95.44875412296616,"{0: 6, 1: 5, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.1, 'e': 0.9998225324493704}",25,0,-250.44933063710727,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
13,False,"{'a': 0.1, 'e': 0.9997917231802739}",30,0,-97.01198723754284,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9997584495250651}",25,0,-216.41699374835758,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.9997227115657603}",20,0,-97.54664405705003,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.99968450939045}",25,0,-206.12582419371446,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.1, 'e': 0.9996438430932985}",20,0,-84.15110322557284,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.9996007127745443}",20,0,-67.3873950630477,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.9995551185404994}",30,0,-92.92342566620333,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9995070605035489}",20,0,-113.92241918800929,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
