trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9931138191549688}",25,0,-254.27145493464084,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 0.1, 'e': 0.986275057796568}",20,0,-66.5871619912126,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9794833893856372}",25,0,-183.11811634992915,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.9727384896316235}",25,0,-173.86916187300065,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9660400364770976}",25,0,-175.63032214878083,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9593877100823757}",20,0,-217.3508557936544,"{0: 5, 1: 4, 2: 6, 3: 3, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.952781192810248}",20,0,-83.67007552632315,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9462201692108121}",20,0,-122.11101899524131,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9397043260064103}",20,0,-70.11228421889273,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.933233352076672}",20,0,-74.15055024789766,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9268069384436572}",30,0,-136.51764146253487,"{0: 14, 1: 6, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9204247782571046}",20,0,-82.49006321085467,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.9140865667797783}",20,7,-92.9595782558684,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.1, 'e': 0.907792001372919}",20,0,-119.35654500958572,"{0: 11, 1: 1, 2: 3, 3: 5, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.9015407814817923}",20,0,-89.43532070733475,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
