trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999976284018748}",20,0,-110.87408138903606,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9999905136299972}",20,0,-122.41803992410237,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.9999786557518606}",20,0,-84.49393611462914,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9999620548799537}",20,0,-168.50763711710047,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.9999407111717588}",25,0,-148.6117665221298,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9999146248297506}",25,0,-153.57029334443104,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9998837961013943}",25,0,-232.25704829985492,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.1, 'e': 0.9998482252791436}",25,0,-151.7055871404237,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9998079127004371}",25,0,-187.31181447974876,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.1, 'e': 0.9997628587476957}",30,0,-149.51764112158287,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.9997130638483189}",30,0,-142.23929727644128,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9996585284746808}",20,0,-94.38442878403359,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.9995992531441253}",20,0,-47.281504820396016,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.9995352384189615}",20,0,-215.87312072857858,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.1, 'e': 0.9994664849064581}",25,0,-237.27846764148023,"{0: 10, 1: 5, 2: 6, 3: 0, 4: 4}",0
16,False,"{'a': 0.1, 'e': 0.9993929932588379}",25,0,-84.0016976999445,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9993147641732715}",35,15,-123.7355718085851,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.1, 'e': 0.9992317983918708}",20,0,-130.08350293763144,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9991440967016818}",20,0,-91.9168510716089,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.999051659934677}",20,0,-143.70857689893418,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
