trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9990009}",25,0,-169.58369512245935,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.9980017999999999}",20,0,-144.73744879321544,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.9970026999999999}",20,0,-159.62021166254766,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9960035999999999}",20,0,-117.9755467845851,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9950044999999998}",25,0,-75.4867522414061,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9940053999999998}",25,0,-272.213080412177,"{0: 8, 1: 3, 2: 9, 3: 1, 4: 4}",0
7,False,"{'a': 0.1, 'e': 0.9930062999999998}",25,0,-101.18519287603573,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.9920071999999998}",20,0,-77.24102315097565,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9910080999999997}",25,0,-216.2661338202013,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.1, 'e': 0.9900089999999997}",20,0,-79.24238607439655,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9890098999999997}",20,0,-117.65816348296073,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9880107999999996}",20,16,6.225344285137437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.9870116999999996}",20,0,-78.15493970672672,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.9860125999999996}",20,0,-34.77003572441547,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.9850134999999995}",25,0,-128.4232393394362,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9840143999999995}",20,0,-141.0793806710368,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.9830152999999995}",20,0,-40.439304976670606,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.9820161999999995}",25,6,-32.33419576224621,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.9810170999999994}",20,0,-141.23308013485536,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9800179999999994}",20,0,-29.79773450889156,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.9790188999999994}",25,0,-149.26253455060714,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.9780197999999993}",20,0,-154.17380947845905,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.1, 'e': 0.9770206999999993}",25,0,-102.61379043614838,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.9760215999999993}",20,0,-89.83154114119472,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.9750224999999992}",25,0,-115.1874849309834,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.9740233999999992}",25,1,-138.17716299882258,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 2}",1
27,False,"{'a': 0.1, 'e': 0.9730242999999992}",25,0,-179.52190647075918,"{0: 10, 1: 2, 2: 10, 3: 2, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.9720251999999991}",20,0,-34.56845221858673,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.1, 'e': 0.9710260999999991}",35,0,-109.73688351221733,"{0: 24, 1: 5, 2: 3, 3: 2, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.9700269999999991}",20,3,-25.34750221899569,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.969027899999999}",20,0,-135.62151846318835,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
32,False,"{'a': 0.1, 'e': 0.968028799999999}",30,0,-112.13847421779752,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.967029699999999}",30,0,-116.39925041019686,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0.1, 'e': 0.966030599999999}",20,0,-31.282893509203035,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.1, 'e': 0.9650314999999989}",25,11,-89.83706179081578,"{0: 5, 1: 3, 2: 4, 3: 2, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.9640323999999989}",20,0,-95.99461024389693,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.1, 'e': 0.9630332999999989}",30,0,-126.95065835367188,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.9620341999999988}",25,0,-103.1693072301821,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.9610350999999988}",25,0,-129.25486513038072,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.9600359999999988}",20,3,-61.88563092064404,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
41,False,"{'a': 0.1, 'e': 0.9590368999999987}",35,0,-249.8412309493123,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 5}",0
42,False,"{'a': 0.1, 'e': 0.9580377999999987}",20,0,-92.09667166342143,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.1, 'e': 0.9570386999999987}",25,3,-88.79883697991863,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 1}",1
44,False,"{'a': 0.1, 'e': 0.9560395999999987}",30,7,-69.22196349089874,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.9550404999999986}",20,0,-87.19496435420643,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.9540413999999986}",20,0,-123.71679985659318,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.9530422999999986}",20,4,-49.53282863135782,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.9520431999999985}",20,0,-113.13834919174411,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.9510440999999985}",20,0,-79.4200269452549,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.9500449999999985}",25,0,-65.38722624849392,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.9490458999999984}",20,0,-43.91030767187168,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.9480467999999984}",20,0,-112.88902131881305,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.1, 'e': 0.9470476999999984}",20,0,-53.586524461818136,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.9460485999999984}",20,0,-71.4139941582971,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.1, 'e': 0.9450494999999983}",30,0,-128.30307128726156,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.9440503999999983}",25,0,-125.80831923478223,"{0: 11, 1: 9, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.1, 'e': 0.9430512999999983}",20,0,-92.1270446738222,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
58,False,"{'a': 0.1, 'e': 0.9420521999999982}",25,0,-126.18225240350277,"{0: 11, 1: 8, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.1, 'e': 0.9410530999999982}",20,0,-96.79770337405408,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.9400539999999982}",20,0,-59.16668587677079,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.9390548999999981}",25,0,-87.84673019628941,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.1, 'e': 0.9380557999999981}",20,4,-72.5313730105749,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.1, 'e': 0.9370566999999981}",20,0,-77.75204026358709,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.1, 'e': 0.936057599999998}",35,0,-235.10607458453657,"{0: 19, 1: 5, 2: 5, 3: 3, 4: 3}",0
65,False,"{'a': 0.1, 'e': 0.935058499999998}",20,0,-124.32055472499435,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.934059399999998}",20,8,-34.74118659152902,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.1, 'e': 0.933060299999998}",20,0,-94.1601216569781,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.9320611999999979}",25,0,-146.59305007799804,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
69,False,"{'a': 0.1, 'e': 0.9310620999999979}",30,0,-200.5683832448259,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
70,False,"{'a': 0.1, 'e': 0.9300629999999979}",20,0,-71.63945340684266,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.1, 'e': 0.9290638999999978}",25,0,-85.19794091975761,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.1, 'e': 0.9280647999999978}",30,0,-67.73607142803891,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.9270656999999978}",35,1,-77.7583129228623,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 1}",1
74,False,"{'a': 0.1, 'e': 0.9260665999999977}",20,0,-116.26370634937328,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
75,False,"{'a': 0.1, 'e': 0.9250674999999977}",30,0,-31.542699404154213,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.9240683999999977}",30,0,-90.40668388646935,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.1, 'e': 0.9230692999999977}",35,4,-141.33030220128416,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 1}",1
78,False,"{'a': 0.1, 'e': 0.9220701999999976}",35,0,-81.68793391901448,"{0: 24, 1: 6, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.1, 'e': 0.9210710999999976}",25,0,-231.62942758086638,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
80,False,"{'a': 0.1, 'e': 0.9200719999999976}",20,8,-16.410894701150024,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.9190728999999975}",25,0,-121.24403212989728,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.9180737999999975}",30,0,-162.0159826275709,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
83,False,"{'a': 0.1, 'e': 0.9170746999999975}",25,0,-129.5151919157685,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.1, 'e': 0.9160755999999974}",20,0,-114.58252409596159,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
85,False,"{'a': 0.1, 'e': 0.9150764999999974}",20,0,-101.42811786152097,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.1, 'e': 0.9140773999999974}",20,0,-79.8439692367846,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.9130782999999973}",20,0,-117.15298750283242,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.9120791999999973}",20,0,-151.84279524966794,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
89,False,"{'a': 0.1, 'e': 0.9110800999999973}",25,0,-178.1303195724265,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
90,False,"{'a': 0.1, 'e': 0.9100809999999973}",25,0,-86.53194894600071,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
91,False,"{'a': 0.1, 'e': 0.9090818999999972}",30,12,-40.56649006583228,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.9080827999999972}",25,0,-67.44940523968701,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.9070836999999972}",20,15,2.5107722429538253,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.9060845999999971}",25,0,-70.77300954688016,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.9050854999999971}",35,0,-105.5281181838954,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.9040863999999971}",20,0,-65.88070688861575,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
97,False,"{'a': 0.1, 'e': 0.903087299999997}",20,2,-82.23151828569216,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.902088199999997}",30,8,-72.9174700286051,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
99,False,"{'a': 0.1, 'e': 0.901089099999997}",30,0,-98.15191209185866,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
100,False,"{'a': 0.1, 'e': 0.900089999999997}",30,17,-28.720936987090614,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.8990908999999969}",20,0,-47.99263144427338,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
102,False,"{'a': 0.1, 'e': 0.8980917999999969}",20,0,-38.15643076979599,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
