trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.14401380407978,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.85614189658642,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.83322385016251,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.74694995925893,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.80201277625025,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,16,7.583721951669908,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.03513037299983,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,5,-92.04663233590318,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.87907517937643,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.549649283997205,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.66609781548681,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.67410116533694,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.363875594172704,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.74004239122364,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.26967293070714,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.86250759962232,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,14,0.6263847432647651,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.76423314798618,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.3118549476905,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-58.28312820880229,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-66.23328899633398,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.46291748575612,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.75166679769866,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-187.0742321890085,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.81886500984271,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-202.67080428291663,"{0: 13, 1: 7, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.86023680941673,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-135.43637757211704,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,3,-78.79874972955115,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.22255581434646,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
